Spectroscopic Data At X=0, Y=0
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
440.532898	22.763811	153.624481	22.896467	153.323868	17.560265	139.818298	17.734760	139.525970	12.753047	107.750534	13.009775	108.385056	
442.125641	22.658434	153.765762	22.803343	153.435852	17.435074	139.811325	17.618914	139.615204	12.624303	107.595314	12.882898	108.232353	
443.718323	22.618357	153.819763	22.711889	153.546173	17.323929	139.951569	17.505173	139.702927	12.524485	107.397842	12.758633	108.077873	
445.310974	22.522760	153.924561	22.622070	153.654831	17.226236	140.050461	17.393492	139.789154	12.393764	107.215309	12.636920	107.921669	
446.903625	22.435860	154.028900	22.533848	153.761871	17.124500	139.962479	17.283829	139.873932	12.293952	107.058594	12.517702	107.763809	
448.496246	22.300976	154.120026	22.447186	153.867294	17.011841	140.147873	17.176128	139.957275	12.165092	106.745636	12.400915	107.604332	
450.088867	22.249727	154.230957	22.362047	153.971161	16.914219	140.214615	17.070353	140.039200	12.040391	106.612724	12.286506	107.443314	
451.681458	22.163370	154.296936	22.278402	154.073486	16.799738	140.248352	16.966457	140.119766	11.972904	106.561050	12.174416	107.280815	
453.273987	22.098101	154.356003	22.196220	154.174301	16.691032	140.311523	16.864407	140.198990	11.844703	106.395470	12.064595	107.116943	
454.866547	21.986202	154.516724	22.115469	154.273666	16.589855	140.340195	16.764154	140.276947	11.733811	106.091843	11.956985	106.951767	
456.459045	21.934193	154.574188	22.036121	154.371582	16.501806	140.461227	16.665665	140.353638	11.631777	105.910423	11.851538	106.785362	
458.051514	21.859522	154.634369	21.958141	154.468094	16.406000	140.586884	16.568899	140.429123	11.574554	105.768784	11.748195	106.617805	
459.643982	21.795532	154.763168	21.881504	154.563248	16.327824	140.655350	16.473814	140.503448	11.449894	105.590279	11.646904	106.449173	
461.236420	21.726295	154.825623	21.806179	154.657089	16.221954	140.642487	16.380377	140.576660	11.352731	105.328903	11.547618	106.279556	
462.828857	21.656029	154.896484	21.732128	154.749634	16.154230	140.733536	16.288538	140.648773	11.263658	105.262032	11.450274	106.108978	
464.421234	21.564796	154.958466	21.659336	154.840942	16.063679	140.719681	16.198275	140.719879	11.162905	105.040192	11.354834	105.937569	
466.013611	21.501974	155.081696	21.587954	154.930939	15.969548	140.774734	16.109760	140.789993	11.074084	104.630875	11.261445	105.766045	
467.605957	21.409163	155.160461	21.517782	155.019760	15.864575	140.902649	16.022758	140.859177	10.998696	104.633705	11.169868	105.593887	
469.198242	21.356588	155.230988	21.448793	155.107452	15.815769	141.066238	15.937233	140.927490	10.926284	104.378891	11.080051	105.421181	
470.790527	21.318552	155.348358	21.380955	155.194046	15.702141	140.955704	15.853136	140.994949	10.844186	104.179031	10.991941	105.247940	
472.382751	21.242657	155.427734	21.314245	155.279602	15.621029	141.125916	15.770445	141.061630	10.744562	104.146080	10.905497	105.074280	
473.975006	21.161901	155.502365	21.248632	155.364120	15.553740	141.156708	15.689117	141.127548	10.657342	103.809639	10.820666	104.900223	
475.567200	21.103029	155.626434	21.184092	155.447678	15.485052	141.236420	15.609119	141.192749	10.564799	103.745789	10.737407	104.725822	
477.159332	21.039736	155.677139	21.120605	155.530273	15.384908	141.223480	15.530430	141.257278	10.512229	103.475296	10.655681	104.551170	
478.751465	20.989428	155.739304	21.058153	155.611954	15.327181	141.254807	15.453016	141.321182	10.437863	103.334206	10.575447	104.376328	
480.343567	20.950541	155.868073	20.996964	155.692657	15.254748	141.408798	15.377148	141.384583	10.371542	103.061142	10.496922	104.202484	
481.935638	20.883484	155.932190	20.936750	155.772522	15.175717	141.456741	15.302485	141.447433	10.284053	102.953598	10.419795	104.028557	
483.527679	20.818588	155.989197	20.877491	155.851593	15.114235	141.535767	15.228996	141.509796	10.218440	102.800735	10.344024	103.854591	
485.119690	20.737482	156.055161	20.819159	155.929871	15.021833	141.574249	15.156648	141.571671	10.141634	102.613274	10.269569	103.680595	
486.711670	20.706131	156.136414	20.761726	156.007401	14.966466	141.667160	15.085408	141.633087	10.072679	102.503075	10.196390	103.506592	
488.303619	20.633144	156.184372	20.705179	156.084213	14.910066	141.726456	15.015256	141.694107	9.991432	102.150208	10.124454	103.332649	
489.895508	20.577917	156.280960	20.649700	156.160278	14.818367	141.756836	14.946402	141.754852	9.927579	101.918724	10.053922	103.159798	
491.487396	20.520199	156.318222	20.595163	156.235672	14.759393	141.812851	14.878692	141.815308	9.862766	101.745888	9.984651	102.987595	
493.079193	20.477983	156.433609	20.541447	156.310410	14.685498	141.780823	14.811985	141.875443	9.807638	101.689522	9.916512	102.815559	
494.671051	20.427011	156.468872	20.488520	156.384552	14.644405	141.871552	14.746247	141.935303	9.730538	101.484016	9.849466	102.643684	
496.262787	20.375042	156.540436	20.436371	156.458115	14.562635	141.929291	14.681458	141.994873	9.684429	101.218399	9.783488	102.471985	
497.854553	20.319256	156.616623	20.385096	156.531082	14.498612	141.953278	14.617725	142.054291	9.625916	101.132286	9.718649	102.301125	
499.446228	20.256056	156.690430	20.334776	156.603470	14.437079	142.103180	14.555141	142.113647	9.536339	101.038788	9.655005	102.131668	
501.037903	20.193785	156.760544	20.285166	156.675339	14.361376	142.088745	14.493423	142.172806	9.479272	100.824265	9.592324	101.962433	
502.629486	20.166235	156.791458	20.236248	156.746719	14.325032	142.133026	14.432547	142.231781	9.424045	100.454903	9.530581	101.793419	
504.221100	20.130972	156.883286	20.188004	156.817612	14.270813	142.235916	14.372489	142.290588	9.362425	100.263084	9.469748	101.624619	
505.812653	20.080212	156.958237	20.140650	156.888016	14.214446	142.314438	14.313498	142.349442	9.320685	100.203667	9.409998	101.457382	
507.404144	20.018879	156.990814	20.094055	156.957962	14.138839	142.277161	14.255418	142.408264	9.254456	100.002625	9.351201	101.291084	
508.995605	19.968962	157.064575	20.048069	157.027496	14.114946	142.411911	14.198078	142.466949	9.208055	99.951645	9.293225	101.124962	
510.587067	19.930439	157.121872	20.002676	157.096603	14.017610	142.390152	14.141459	142.525513	9.149403	99.650696	9.236047	100.958984	
512.178406	19.865080	157.198715	19.958023	157.165283	13.969903	142.478928	14.085724	142.584122	9.096147	99.340103	9.179775	100.794136	
513.769775	19.856726	157.220428	19.914143	157.233582	13.934360	142.499161	14.030910	142.642838	9.041532	99.347847	9.124423	100.630737	
515.361084	19.793722	157.317444	19.870802	157.301498	13.871835	142.506958	13.976752	142.701447	8.978889	99.052055	9.069795	100.467453	
516.952332	19.744453	157.368393	19.827986	157.369034	13.817427	142.662628	13.923232	142.759964	8.921202	98.906418	9.015872	100.304260	
518.543579	19.729259	157.447952	19.785868	157.436218	13.751713	142.699585	13.870541	142.818588	8.881504	98.781433	8.962779	100.142326	
520.134766	19.670357	157.482269	19.744438	157.503052	13.720450	142.760712	13.818670	142.877335	8.825520	98.531143	8.910499	99.981697	
521.725952	19.635662	157.572021	19.703480	157.569550	13.662507	142.748398	13.767374	142.935989	8.777091	98.504402	8.858858	99.821068	
523.317017	19.582323	157.671753	19.662981	157.635696	13.594386	142.841202	13.716636	142.994537	8.736636	98.230118	8.807840	99.660408	
524.908081	19.553499	157.734146	19.623249	157.701538	13.552582	142.847855	13.666800	143.053360	8.660589	97.987167	8.757668	99.501808	
526.499084	19.514774	157.716461	19.584015	157.767044	13.489690	142.898590	13.617566	143.112183	8.640718	97.880905	8.708130	99.343597	
528.090027	19.461473	157.816437	19.545198	157.832245	13.453774	143.020157	13.568840	143.170898	8.578641	97.588257	8.659164	99.185287	
529.680969	19.420181	157.885452	19.506920	157.897125	13.404489	143.034882	13.520759	143.229675	8.540968	97.412880	8.610853	99.027748	
531.271851	19.390650	157.937378	19.469284	157.961716	13.346869	143.045853	13.473434	143.288651	8.485274	97.349762	8.563261	98.871750	
532.862671	19.350708	158.068008	19.432020	158.025986	13.314228	143.056351	13.426568	143.347519	8.450233	97.128494	8.516191	98.715546	
534.453491	19.322741	158.058914	19.395138	158.089966	13.263111	143.209976	13.380168	143.406281	8.386029	96.998543	8.469646	98.559212	
536.044189	19.280561	158.119690	19.358984	158.153671	13.224732	143.186554	13.334620	143.465378	8.373760	96.776680	8.423862	98.405243	
537.634888	19.246241	158.174240	19.323164	158.217056	13.183781	143.270126	13.289484	143.524353	8.320199	96.600220	8.378555	98.250938	
539.225525	19.214548	158.242798	19.287674	158.280167	13.130228	143.333893	13.244754	143.583206	8.276458	96.442657	8.333723	98.096298	
540.816101	19.172815	158.263046	19.252846	158.342987	13.087422	143.396942	13.200801	143.642334	8.234197	96.356796	8.289587	97.943771	
542.406677	19.147257	158.360855	19.218367	158.405518	13.039407	143.373444	13.157274	143.701370	8.189058	96.095589	8.245927	97.791153	
543.997192	19.118317	158.418488	19.184181	158.467773	13.005272	143.445908	13.114114	143.760269	8.152383	95.954666	8.202703	97.638084	
545.587585	19.071041	158.477432	19.150616	158.529739	12.938916	143.511414	13.071679	143.819412	8.111609	95.758087	8.160130	97.486992	
547.178040	19.048700	158.582626	19.117386	158.591431	12.902953	143.543793	13.029656	143.878479	8.060472	95.489975	8.118011	97.335861	
548.768372	18.998587	158.574203	19.084423	158.652832	12.870048	143.637024	12.987967	143.937378	8.020957	95.509415	8.076300	97.184204	
550.358643	18.956591	158.624725	19.052076	158.713959	12.815825	143.634460	12.946999	143.996552	7.997572	95.169464	8.035220	97.034668	
551.948914	18.923933	158.684082	19.020023	158.774811	12.799431	143.728195	12.906393	144.055603	7.946424	95.119514	7.994557	96.884911	
553.539124	18.902077	158.731522	18.988228	158.835373	12.739961	143.806625	12.866112	144.114487	7.908116	94.916328	7.954285	96.734688	
555.129272	18.849033	158.790512	18.957045	158.895676	12.691671	143.776398	12.826545	144.173660	7.882602	94.689651	7.914629	96.586723	
