X (cm)	Y (cm)	MSE	Absolute MSE	Thickness # 1 (nm)	A	B	C	n of Cauchy @ 632.8 nm	Thickness # 1 (nm) Error	A Error	B Error	C Error	n of Cauchy @ 632.8 nm Error
1.00000	0.00000	6.478	0.000	9.93	2.258	-0.02469	0.00104	2.20242	0.014	0.0173	0.006406	0.00048978	0.000000
2.75000	0.00000	6.594	0.000	9.98	2.258	-0.02523	0.00108	2.20156	0.015	0.0175	0.006491	0.00049612	0.000000
5.25000	0.00000	6.573	0.000	9.92	2.262	-0.02599	0.00112	2.20387	0.015	0.0175	0.006493	0.00049684	0.000000
7.00000	0.00000	6.609	0.000	9.78	2.258	-0.02454	0.00098785	2.20325	0.015	0.0180	0.006656	0.00050900	0.000000
8.00000	0.00000	6.677	0.000	9.65	2.258	-0.02369	0.00089874	2.20452	0.015	0.0184	0.006820	0.00052180	0.000000
9.00000	0.00000	6.600	0.000	9.56	2.255	-0.02311	0.00086681	2.20257	0.015	0.0185	0.006838	0.00052276	0.000000
9.00000	-1.00000	6.686	0.000	9.61	2.256	-0.02350	0.00088691	2.20270	0.015	0.0186	0.006885	0.00052631	0.000000
8.00000	-1.00000	6.685	0.000	9.75	2.259	-0.02430	0.00094862	2.20380	0.015	0.0182	0.006748	0.00051611	0.000000
7.00000	-1.00000	6.485	0.000	9.88	2.254	-0.02449	0.00101	2.19944	0.014	0.0175	0.006474	0.00049433	0.000000
5.25000	-1.00000	6.505	0.000	10.04	2.262	-0.02710	0.00121	2.20220	0.015	0.0171	0.006342	0.00048499	0.000000
2.75000	-1.00000	6.472	0.000	10.06	2.258	-0.02615	0.00117	2.20041	0.014	0.0171	0.006312	0.00048232	0.000000
1.00000	-1.00000	6.591	0.000	9.99	2.261	-0.02575	0.00110	2.20405	0.015	0.0174	0.006454	0.00049380	0.000000
0.00000	-1.00000	6.711	0.000	9.94	2.260	-0.02481	0.00103	2.20495	0.015	0.0178	0.006614	0.00050621	0.000000
-1.00000	-1.00000	6.559	0.000	9.86	2.258	-0.02341	0.00093780	2.20512	0.015	0.0176	0.006528	0.00049966	0.000000
-2.75000	-1.00000	6.732	0.000	9.76	2.260	-0.02282	0.00084899	2.20870	0.015	0.0182	0.006757	0.00051789	0.000000
-5.25000	-1.00000	6.516	0.000	9.67	2.254	-0.02090	0.00075117	2.20684	0.014	0.0179	0.006647	0.00050910	0.000000
-7.00000	-1.00000	6.726	0.000	9.61	2.261	-0.02225	0.00081615	2.21036	0.015	0.0184	0.006873	0.00052729	0.000000
-8.00000	-1.00000	6.835	0.000	9.61	2.259	-0.02138	0.00072625	2.20983	0.015	0.0188	0.006992	0.00053605	0.000000
-9.00000	-1.00000	6.754	0.000	9.90	2.260	-0.02444	0.00098367	2.20461	0.015	0.0180	0.006687	0.00051163	0.000000
-8.00000	-2.75000	6.693	0.000	9.83	2.260	-0.02365	0.00093990	2.20678	0.015	0.0180	0.006671	0.00051099	0.000000
-7.00000	-2.75000	6.560	0.000	9.81	2.257	-0.02281	0.00089466	2.20558	0.015	0.0177	0.006570	0.00050295	0.000000
-5.25000	-2.75000	6.832	0.000	9.80	2.262	-0.02317	0.00087754	2.20948	0.015	0.0183	0.006822	0.00052303	0.000000
-2.75000	-2.75000	6.642	0.000	9.73	2.256	-0.02184	0.00080800	2.20700	0.015	0.0181	0.006715	0.00051430	0.000000
-1.00000	-2.75000	6.645	0.000	9.85	2.257	-0.02321	0.00091256	2.20504	0.015	0.0179	0.006624	0.00050695	0.000000
0.00000	-2.75000	6.571	0.000	9.93	2.259	-0.02405	0.00099220	2.20540	0.015	0.0175	0.006482	0.00049622	0.000000
1.00000	-2.75000	6.469	0.000	10.01	2.257	-0.02471	0.00107	2.20158	0.014	0.0172	0.006346	0.00048510	0.000000
2.75000	-2.75000	6.491	0.000	10.12	2.259	-0.02603	0.00116	2.20090	0.015	0.0170	0.006284	0.00048023	0.000000
5.25000	-2.75000	6.414	0.000	10.20	2.257	-0.02727	0.00127	2.19726	0.014	0.0167	0.006166	0.00047063	0.000000
7.00000	-2.75000	6.377	0.000	10.10	2.255	-0.02626	0.00118	2.19676	0.014	0.0168	0.006211	0.00047386	0.000000
8.00000	-2.75000	6.497	0.000	9.91	2.257	-0.02542	0.00107	2.20007	0.015	0.0175	0.006454	0.00049291	0.000000
7.00000	-5.25000	6.390	0.000	10.36	2.257	-0.02908	0.00141	2.19340	0.014	0.0164	0.006043	0.00046053	0.000000
5.25000	-5.25000	6.304	0.000	10.26	2.255	-0.02670	0.00125	2.19597	0.014	0.0164	0.006033	0.00046023	0.000000
2.75000	-5.25000	6.292	0.000	10.06	2.253	-0.02395	0.00104	2.19954	0.014	0.0167	0.006157	0.00047028	0.000000
1.00000	-5.25000	6.394	0.000	9.99	2.252	-0.02316	0.00098237	2.20054	0.014	0.0171	0.006303	0.00048158	0.000000
0.00000	-5.25000	6.410	0.000	9.93	2.251	-0.02228	0.00089863	2.20065	0.014	0.0172	0.006367	0.00048642	0.000000
-1.00000	-5.25000	6.546	0.000	9.81	2.255	-0.02241	0.00088704	2.20484	0.015	0.0177	0.006567	0.00050265	0.000000
-2.75000	-5.25000	6.649	0.000	9.53	2.256	-0.02014	0.00067272	2.21004	0.015	0.0185	0.006881	0.00052778	0.000000
-5.25000	-5.25000	6.268	0.000	10.04	2.256	-0.02366	0.00101	2.20284	0.014	0.0165	0.006122	0.00046821	0.000000
-7.00000	-5.25000	6.489	0.000	10.09	2.255	-0.02416	0.00103	2.20126	0.014	0.0171	0.006312	0.00048242	0.000000
-5.25000	-7.00000	6.518	0.000	10.24	2.255	-0.02518	0.00112	2.19894	0.015	0.0169	0.006233	0.00047594	0.000000
-2.75000	-7.00000	6.786	0.000	9.44	2.260	-0.02020	0.00063940	2.21340	0.015	0.0189	0.007073	0.00054325	0.000000
-1.00000	-7.00000	6.351	0.000	9.96	2.255	-0.02332	0.00098175	2.20281	0.014	0.0169	0.006268	0.00047943	0.000000
0.00000	-7.00000	6.512	0.000	9.99	2.260	-0.02479	0.00107	2.20439	0.014	0.0172	0.006384	0.00048866	0.000000
1.00000	-7.00000	6.558	0.000	9.96	2.258	-0.02410	0.00102	2.20435	0.015	0.0174	0.006451	0.00049374	0.000000
2.75000	-7.00000	6.500	0.000	9.97	2.252	-0.02367	0.00102	2.19943	0.014	0.0174	0.006428	0.00049094	0.000000
5.25000	-7.00000	6.286	0.000	10.37	2.253	-0.02750	0.00134	2.19275	0.014	0.0162	0.005953	0.00045355	0.000000
2.75000	-8.00000	6.591	0.000	9.96	2.257	-0.02431	0.00102	2.20234	0.015	0.0176	0.006496	0.00049672	0.000000
1.00000	-8.00000	6.450	0.000	9.94	2.257	-0.02394	0.00102	2.20391	0.014	0.0172	0.006367	0.00048721	0.000000
0.00000	-8.00000	6.353	0.000	10.01	2.254	-0.02349	0.00101	2.20179	0.014	0.0169	0.006239	0.00047696	0.000000
-1.00000	-8.00000	6.508	0.000	10.10	2.257	-0.02501	0.00109	2.20171	0.015	0.0171	0.006309	0.00048227	0.000000
-2.75000	-8.00000	6.599	0.000	9.49	2.255	-0.02040	0.00070786	2.20808	0.015	0.0185	0.006876	0.00052705	0.000000
-2.75000	-9.00000	6.460	0.000	9.76	2.253	-0.02326	0.00095351	2.20053	0.014	0.0177	0.006548	0.00050032	0.000000
-1.00000	-9.00000	6.354	0.000	10.33	2.254	-0.02607	0.00121	2.19650	0.014	0.0164	0.006028	0.00045989	0.000000
0.00000	-9.00000	6.248	0.000	10.09	2.250	-0.02377	0.00105	2.19741	0.014	0.0166	0.006102	0.00046569	0.000000
1.00000	-9.00000	6.279	0.000	10.04	2.253	-0.02452	0.00109	2.19879	0.014	0.0167	0.006156	0.00047011	0.000000
2.75000	-9.00000	6.424	0.000	10.31	2.259	-0.02783	0.00133	2.19733	0.014	0.0165	0.006096	0.00046530	0.000000
