Frequency (kHz),SA_Noise (dBm),PD_Noise  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
4.500907441,-122.3768006,-110.478401,-108.8360016,-97.1408004,-103.8656008
4.537205082,-123.7776018,-110.3080016,-110.1311996,-97.1128006,-103.8480012
4.573502722,-123.1767992,-111.8336,-109.5016008,-97.3792006,-104.879199
4.609800363,-122.6416,-110.7888014,-109.5,-96.2367998,-105.0656006
4.646098004,-122.9464004,-111.0375992,-109.9632002,-96.5008008,-104.4240004
4.682395644,-122.3776014,-110.5112,-109.5096006,-96.1392,-104.5192
4.718693285,-122.3352004,-111.0136,-109.5440004,-96.1864,-104.6272004
4.754990926,-122.8695982,-110.0904008,-109.3607986,-96.4720018,-104.9216004
4.791288566,-122.984001,-110.6648014,-110.2128022,-95.7072008,-104.5328002
4.827586207,-123.259198,-111.8184006,-109.1832002,-96.5080002,-104.640799
4.863883848,-122.9119994,-110.4328018,-108.8943998,-96.170401,-104.607199
4.900181488,-122.7312012,-110.4087996,-109.1072006,-96.3192018,-104.7679992
4.936479129,-123.140799,-110.3568008,-108.999199,-96.5048004,-105.2023988
4.97277677,-123.4847992,-110.4776016,-108.642398,-95.7744002,-104.2111998
5.00907441,-123.7671998,-110.3879988,-108.2640016,-95.7240022,-103.3567992
5.045372051,-123.7320008,-110.103198,-109.1671996,-96.1959992,-103.2967986
5.081669691,-123.423201,-110.2608,-108.9279998,-95.9488008,-104.4087998
5.117967332,-123.6456012,-110.7551984,-109.3504012,-96.8976,-103.7080002
5.154264973,-122.5391998,-109.5944002,-108.7815994,-95.9287996,-103.9000016
5.190562613,-123.1303986,-109.9335984,-109.3328004,-96.090401,-103.6903992
5.226860254,-124.1959992,-110.1559998,-109.1295976,-96.972,-103.0328
5.263157895,-124.2055986,-109.5024016,-108.9960022,-95.8839996,-103.7423998
5.299455535,-122.8671998,-109.456799,-109.3504012,-95.4016008,-104.023201
5.335753176,-123.0407992,-110.2728012,-107.9343994,-96.6128006,-103.5183992
5.372050817,-123.7904008,-109.9160002,-108.1480012,-96.0440004,-103.5352006
5.408348457,-123.3224014,-110.3560028,-108.4511978,-96.1039992,-103.5736006
5.444646098,-122.9296006,-110.8343996,-108.7735992,-95.5623992,-103.5783998
5.480943739,-123.340799,-109.5559998,-109.3992006,-95.6960008,-103.7824004
5.517241379,-123.6647996,-108.5007994,-107.717601,-96.7447996,-102.4615998
5.55353902,-123.8400012,-109.5359984,-108.412799,-95.4071976,-103.2751998
5.589836661,-123.2016006,-109.0936004,-109.2808012,-94.5735978,-102.9839996
5.626134301,-123.5911988,-109.7944,-108.8800002,-95.464798,-102.1968002
5.662431942,-124.1904008,-109.1040008,-108.5400012,-94.4912,-101.8824008
5.698729583,-123.5184004,-110.0936002,-108.6752014,-95.3623994,-101.7216004
5.735027223,-123.4447998,-110.0023986,-109.5559996,-94.973601,-101.5248002
5.771324864,-124.2287992,-110.0896012,-107.5232012,-94.9671996,-101.0344008
5.807622505,-124.3808014,-109.7448,-107.3776016,-94.1024018,-101.5800016
5.843920145,-124.8703994,-109.9895998,-107.8263992,-94.0992004,-100.5048004
5.880217786,-124.2831988,-109.7720002,-108.4440004,-94.2224002,-100.3511992
5.916515426,-123.8112014,-109.4431972,-108.1503998,-93.470401,-100.0688004
5.952813067,-123.5080004,-110.4911988,-108.5751998,-93.297598,-99.6472016
5.989110708,-124.1719986,-109.1679978,-107.3512006,-93.6688018,-101.1440002
6.025408348,-124.140001,-109.9687988,-107.9343994,-93.0960004,-100.5664002
6.061705989,-123.9448012,-109.1296006,-108.2639984,-94.8312028,-101.2328018
6.09800363,-123.2711992,-110.093599,-107.7783978,-94.5744002,-100.8063978
6.13430127,-124.2936004,-109.5240006,-108.8976,-94.1336016,-101.2799988
6.170598911,-124.1847992,-109.7384018,-108.2168014,-95.1551986,-101.8647994
6.206896552,-124.601599,-109.070398,-108.5599992,-94.4208006,-101.7832
6.243194192,-124.9335998,-109.0791992,-107.8151994,-94.2224,-102.3663988
6.279491833,-124.5080002,-110.0647996,-109.3031984,-94.7055998,-102.4727996
6.315789474,-124.3783998,-109.2624006,-107.5503998,-94.7104004,-102.218399
6.352087114,-124.5063994,-108.5832004,-108.2999982,-94.6663988,-102.6120012
6.388384755,-125.1984008,-109.4712004,-108.1328002,-95.1791994,-103.026399
6.424682396,-124.4256012,-108.9792008,-108.1504014,-95.5367982,-103.2095994
6.460980036,-124.7600006,-110.1623994,-108.7951994,-96.1192016,-103.1111998
6.497277677,-124.5535978,-109.7248002,-107.6864014,-95.574399,-103.0192004
6.533575318,-124.476802,-109.4623994,-107.123999,-95.6336014,-103.4616028
6.569872958,-124.1152008,-109.6888002,-108.0376006,-94.8392016,-103.2584
6.606170599,-125.1048018,-109.4320006,-107.2663988,-95.2783998,-102.3144014
6.64246824,-125.1384002,-109.3128004,-108.871199,-95.0407988,-103.8728012
6.67876588,-124.9360016,-109.3400006,-108.6568008,-95.5839998,-102.7903994
6.715063521,-123.6079988,-109.8744004,-108.0935988,-95.6895996,-103.7096012
6.751361162,-123.8608002,-109.456801,-108.5000014,-95.8591994,-102.6575988
6.787658802,-124.2551986,-108.9191984,-108.4840012,-95.5936022,-102.856
6.823956443,-124.712799,-109.8167998,-107.7503998,-95.7288008,-103.4039992
6.860254083,-124.5632002,-108.1647994,-107.8343994,-94.8239988,-103.8680006
6.896551724,-125.0007998,-108.9143998,-107.7335984,-93.9080002,-103.0311996
6.932849365,-125.1816012,-108.5343992,-108.2375974,-95.4384002,-102.9768006
6.969147005,-125.0055998,-109.7535994,-108.1656004,-96.1696,-102.6775986
7.005444646,-125.2136016,-109.4992002,-108.0535996,-95.4792008,-103.0999984
7.041742287,-124.9727998,-109.7304,-106.8271988,-95.3167998,-102.1904008
7.078039927,-125.3304002,-109.6512008,-107.8175998,-95.6279998,-102.9279998
7.114337568,-125.4576004,-108.6792008,-107.9127992,-95.1792006,-103.931201
7.150635209,-125.8447982,-108.9135988,-108.1951994,-94.3399994,-102.9376008
7.186932849,-126.307199,-109.7439988,-107.1840014,-95.3375992,-102.7640014
7.22323049,-126.1143998,-109.6103988,-106.6608004,-94.8711992,-102.6679992
7.259528131,-124.695999,-108.7031998,-107.4399992,-94.2647998,-103.5248002
7.295825771,-125.4696,-108.6080018,-107.7800004,-94.2487992,-103.3319992
7.332123412,-125.3175996,-108.2984008,-108.5031996,-95.1647996,-102.8519986
7.368421053,-124.3304,-108.392801,-107.9024002,-94.292801,-102.8959992
7.404718693,-124.5304018,-108.2031998,-108.2408002,-94.6495986,-102.606401
7.441016334,-124.6104006,-108.6192002,-108.1559982,-95.1783998,-103.4447998
7.477313975,-126.256,-109.4319992,-107.8384004,-94.1576004,-102.4600006
7.513611615,-125.787201,-109.976799,-108.6968018,-94.8359986,-102.5248002
7.549909256,-125.8384004,-109.9128006,-108.4856002,-94.9367982,-102.7496004
7.586206897,-125.2552,-108.2671982,-107.8248,-94.2752016,-102.6383972
7.622504537,-125.6544008,-109.0688006,-107.672798,-94.3663984,-102.8087994
7.658802178,-125.0815994,-108.6159988,-107.1695998,-94.3840012,-102.610399
7.695099819,-126.3032,-108.4120012,-107.5615998,-94.1752,-102.0303984
7.731397459,-125.5167986,-108.6568008,-108.0319992,-94.8367996,-103.0552018
7.7676951,-124.992801,-108.3039992,-107.293599,-94.6824022,-102.3912002
7.80399274,-124.9632006,-109.1639998,-107.723201,-94.6871978,-102.3616012
7.840290381,-125.9815992,-108.7192018,-108.0280016,-94.6632004,-103.168799
7.876588022,-125.2528002,-109.3464004,-107.7207992,-95.1520004,-102.4304
7.912885662,-126.1719984,-110.335199,-108.2496002,-94.889601,-102.8175996
7.949183303,-125.6304,-109.381601,-107.8207994,-94.5968018,-102.1912002
7.985480944,-126.232799,-108.8544006,-106.6880006,-95.0567992,-103.0432006
8.021778584,-126.3968018,-109.1487992,-107.9575992,-95.2432006,-101.6888
8.058076225,-125.2936002,-108.5535996,-107.644,-94.6111982,-101.9136004
8.094373866,-126.1912004,-109.7424012,-107.2256014,-94.1655988,-103.3279982
8.130671506,-126.5983978,-109.0744004,-107.8383986,-95.0160004,-102.665602
8.166969147,-125.3927994,-109.1583984,-107.9311998,-95.2416,-102.3808
8.203266788,-125.4416,-109.1255996,-106.8231994,-95.4799986,-101.7440004
8.239564428,-126.2656004,-108.8951996,-107.6464006,-95.7351988,-102.7887986
8.275862069,-126.0623992,-109.2152008,-107.4479994,-94.2832,-102.7000002
8.31215971,-125.7832002,-109.2200028,-107.1103986,-94.2872008,-102.1807996
8.34845735,-124.3992008,-108.8655992,-106.4983994,-95.209601,-101.9304002
8.384754991,-125.4327986,-107.6560014,-107.4327974,-94.3807984,-102.226401
8.421052632,-125.5104018,-108.518399,-107.4056016,-94.4544008,-102.5800002
8.457350272,-126.4912002,-109.3927994,-107.0751998,-94.9199998,-102.6895996
8.493647913,-126.0591994,-108.4455994,-107.2727982,-94.4720002,-102.7327988
8.529945554,-126.3800002,-108.2856018,-106.4856002,-95.256,-100.9368014
8.566243194,-126.9287998,-108.7871978,-106.6471984,-95.171199,-101.5271988
8.602540835,-126.936,-108.9175992,-106.9584,-95.1168,-101.5608002
8.638838475,-126.6775986,-108.5656006,-107.312001,-94.6855986,-102.1176008
8.675136116,-126.5359986,-108.5104004,-107.5168014,-94.0632004,-102.3048006
8.711433757,-126.268799,-108.6679974,-107.5119998,-93.9680006,-102.372
8.747731397,-126.7520004,-108.8984008,-108.6240006,-94.4367996,-102.5871994
8.784029038,-125.4968002,-109.095999,-107.9912,-94.112799,-101.957599
8.820326679,-126.159999,-107.6904006,-107.9863998,-94.7488008,-102.8128004
8.856624319,-125.7376006,-109.3135986,-106.9791994,-94.4887986,-102.1087982
8.89292196,-126.0888,-108.4071976,-107.5095994,-94.6264008,-101.5111984
8.929219601,-126.1632004,-107.9335998,-107.5064012,-94.6231994,-101.9951996
8.965517241,-124.9063998,-109.0039994,-107.6808,-94.9416018,-102.2168
9.001814882,-126.3551986,-108.8240006,-106.8087998,-95.4727996,-102.3056014
9.038112523,-127.165599,-109.5296002,-107.4815994,-94.3327986,-101.2783996
9.074410163,-126.2840012,-108.5687988,-107.2728026,-95.4455978,-101.7247984
9.110707804,-127.8903992,-108.4904024,-107.7632002,-94.7263992,-102.368802
9.147005445,-126.9071992,-108.0552,-107.882399,-94.1199996,-101.8863998
