delta_c/2pi (MHz),Omega_c/2pi (MHz),Ion Amplitude (arb. units)
-999.449679,2.355918324,0.300177281
-999.449679,2.363581052,0.300790526
-999.449679,2.371243779,0.301401999
-999.449679,2.378906507,0.302012061
-999.449679,2.386569234,0.302621074
-999.449679,2.394231961,0.303229398
-999.449679,2.401894689,0.303837396
-999.449679,2.409557416,0.304445429
-999.449679,2.417220143,0.305053857
-999.449679,2.424882871,0.305663043
-999.449679,2.432545598,0.306273346
-999.449679,2.440208326,0.30688513
-999.449679,2.447871053,0.307498755
-999.449679,2.45553378,0.308114582
-999.449679,2.463196508,0.308732972
-999.449679,2.470859235,0.309354288
-999.449679,2.478521963,0.30997889
-999.449679,2.48618469,0.310607139
-999.449679,2.493847417,0.311239398
-999.449679,2.501510145,0.311876026
-999.449679,2.509172872,0.312517386
-999.449679,2.516835599,0.313163839
-999.449679,2.524498327,0.313815745
-999.449679,2.532161054,0.314473468
-999.449679,2.539823782,0.315137366
-999.449679,2.547486509,0.315807803
-999.449679,2.555149236,0.316485139
-999.449679,2.562811964,0.317169736
-999.449679,2.570474691,0.317861954
-999.449679,2.578137419,0.318562156
-999.449679,2.585800146,0.319270702
-999.449679,2.593462873,0.319987954
-999.449679,2.601125601,0.320714273
-999.449679,2.608788328,0.32145002
-999.449679,2.616451056,0.322195557
-999.449679,2.624113783,0.322951246
-999.449679,2.63177651,0.323717446
-999.449679,2.639439238,0.32449452
-999.449679,2.647101965,0.325282829
-999.449679,2.654764692,0.326082734
-999.449679,2.66242742,0.326894596
-999.449679,2.670090147,0.327718778
-999.449679,2.677752875,0.328555639
-999.449679,2.685415602,0.329405542
-999.449679,2.693078329,0.330268847
-999.449679,2.700741057,0.331145917
-999.449679,2.708403784,0.332037112
-999.449679,2.716066512,0.332942793
-999.449679,2.723729239,0.333863323
-999.449679,2.731391966,0.334799061
-999.449679,2.739054694,0.33575037
-999.449679,2.746717421,0.336717611
-999.449679,2.754380149,0.337701145
-999.449679,2.762042876,0.338701334
-999.449679,2.769705603,0.339718538
-999.449679,2.777368331,0.340753119
-999.449679,2.785031058,0.341805439
-999.449679,2.792693785,0.342875858
-999.449679,2.800356513,0.343964738
-999.449679,2.80801924,0.345072441
-999.449679,2.815681968,0.346155871
-999.449679,2.823344695,0.347126084
-999.449679,2.831007422,0.347856025
-997.9489709,0.539851933,0.082283251
-997.9489709,0.547514661,0.082928429
-997.9489709,0.555177388,0.083789875
-997.9489709,0.562840116,0.084757905
-997.9489709,0.570502843,0.085755311
-997.9489709,0.57816557,0.086744435
-997.9489709,0.585828298,0.087725419
-997.9489709,0.593491025,0.088698403
-997.9489709,0.601153753,0.089663528
-997.9489709,0.60881648,0.090620935
-997.9489709,0.616479207,0.091570766
-997.9489709,0.624141935,0.092513162
-997.9489709,0.631804662,0.093448264
-997.9489709,0.639467389,0.094376212
-997.9489709,0.647130117,0.095297148
-997.9489709,0.654792844,0.096211212
-997.9489709,0.662455572,0.097118547
-997.9489709,0.670118299,0.098019293
-997.9489709,0.677781026,0.098913591
-997.9489709,0.685443754,0.099801581
-997.9489709,0.693106481,0.100683406
-997.9489709,0.700769209,0.101559207
-997.9489709,0.708431936,0.102429123
-997.9489709,0.716094663,0.103293297
-997.9489709,0.723757391,0.104151869
-997.9489709,0.731420118,0.105004981
-997.9489709,0.739082846,0.105852774
-997.9489709,0.746745573,0.106695388
-997.9489709,0.7544083,0.107532964
-997.9489709,0.762071028,0.108365645
-997.9489709,0.769733755,0.10919357
-997.9489709,0.777396482,0.110016881
-997.9489709,0.78505921,0.110835719
-997.9489709,0.792721937,0.111650225
-997.9489709,0.800384665,0.112460541
-997.9489709,0.808047392,0.113266806
-997.9489709,0.815710119,0.114069162
-997.9489709,0.823372847,0.114867751
-997.9489709,0.831035574,0.115662713
-997.9489709,0.838698302,0.11645419
-997.9489709,0.846361029,0.117242322
-997.9489709,0.854023756,0.11802725
-997.9489709,0.861686484,0.118809116
-997.9489709,0.869349211,0.119588061
-997.9489709,0.877011938,0.120364225
-997.9489709,0.884674666,0.121137751
-997.9489709,0.892337393,0.121908778
-997.9489709,0.900000121,0.122677448
-997.9489709,0.907662848,0.123443901
-997.9489709,0.915325575,0.12420828
-997.9489709,0.922988303,0.124970725
-997.9489709,0.93065103,0.125731378
-997.9489709,0.938313758,0.126490378
-997.9489709,0.945976485,0.127247868
-997.9489709,0.953639212,0.128003988
-997.9489709,0.96130194,0.128758879
-997.9489709,0.968964667,0.129512683
-997.9489709,0.976627395,0.130265541
-997.9489709,0.984290122,0.131017593
-997.9489709,0.991952849,0.131768981
-997.9489709,0.999615577,0.132519845
-997.9489709,1.007278304,0.133270328
-997.9489709,1.014941031,0.134020569
-997.9489709,1.022603759,0.13477071
-997.9489709,1.030266486,0.135520892
-997.9489709,1.037929214,0.136271256
-997.9489709,1.045591941,0.137021944
-997.9489709,1.053254668,0.137773095
-997.9489709,1.060917396,0.138524852
-997.9489709,1.068580123,0.139277355
-997.9489709,1.076242851,0.140030745
-997.9489709,1.083905578,0.140785164
-997.9489709,1.091568305,0.141540753
-997.9489709,1.099231033,0.142297652
-997.9489709,1.10689376,0.143056002
-997.9489709,1.114556488,0.143815946
-997.9489709,1.122219215,0.144577623
-997.9489709,1.129881942,0.145341175
-997.9489709,1.13754467,0.146106742
-997.9489709,1.145207397,0.146874467
-997.9489709,1.152870124,0.14764449
-997.9489709,1.160532852,0.148416952
-997.9489709,1.168195579,0.149191994
-997.9489709,1.175858307,0.149969757
-997.9489709,1.183521034,0.150750383
-997.9489709,1.191183761,0.151534012
-997.9489709,1.198846489,0.152320785
-997.9489709,1.206509216,0.153110844
-997.9489709,1.214171944,0.153904329
-997.9489709,1.221834671,0.154701382
-997.9489709,1.229497398,0.155502143
-997.9489709,1.237160126,0.156306754
-997.9489709,1.244822853,0.157115356
-997.9489709,1.25248558,0.15792809
-997.9489709,1.260148308,0.158745097
-997.9489709,1.267811035,0.159566518
-997.9489709,1.275473763,0.160392494
-997.9489709,1.28313649,0.161223166
-997.9489709,1.290799217,0.162058675
-997.9489709,1.298461945,0.162899162
-997.9489709,1.306124672,0.163744769
-997.9489709,1.3137874,0.164595636
-997.9489709,1.321450127,0.165451904
-997.9489709,1.329112854,0.166313715
-997.9489709,1.336775582,0.16718121
-997.9489709,1.344438309,0.168054529
-997.9489709,1.352101037,0.168933814
-997.9489709,1.359763764,0.169819206
-997.9489709,1.367426491,0.170710845
-997.9489709,1.375089219,0.171608873
-997.9489709,1.382751946,0.172513431
-997.9489709,1.390414673,0.173424661
-997.9489709,1.398077401,0.174342702
-997.9489709,1.405740128,0.175267696
-997.9489709,1.413402856,0.176199785
-997.9489709,1.421065583,0.177139109
-997.9489709,1.42872831,0.178085809
-997.9489709,1.436391038,0.179040027
-997.9489709,1.444053765,0.180001903
-997.9489709,1.451716493,0.180971579
-997.9489709,1.45937922,0.181949195
-997.9489709,1.467041947,0.182934893
-997.9489709,1.474704675,0.183928813
-997.9489709,1.482367402,0.184931098
-997.9489709,1.49003013,0.185941887
-997.9489709,1.497692857,0.186961322
-997.9489709,1.505355584,0.187989544
-997.9489709,1.513018312,0.189026694
-997.9489709,1.520681039,0.190072913
-997.9489709,1.528343766,0.191128328
-997.9489709,1.536006494,0.192193029
-997.9489709,1.543669221,0.193267021
-997.9489709,1.551331949,0.194350196
-997.9489709,1.558994676,0.195442335
-997.9489709,1.566657403,0.196543149
-997.9489709,1.574320131,0.197652319
-997.9489709,1.581982858,0.198769517
-997.9489709,1.589645586,0.199894415
-997.9489709,1.597308313,0.201026689
-997.9489709,1.60497104,0.202166009
-997.9489709,1.612633768,0.203312049
-997.9489709,1.620296495,0.204464481
-997.9489709,1.627959223,0.20562298
-997.9489709,1.63562195,0.206787217
-997.9489709,1.643284677,0.207956866
-997.9489709,1.650947405,0.209131599
-997.9489709,1.658610132,0.210311089
-997.9489709,1.666272859,0.211495009
-997.9489709,1.673935587,0.212683033
-997.9489709,1.681598314,0.213874832
