Frequency (kHz),SA_Noise (dBm),CA_Noise_open  (dBm),CA_Noise_cell_connected  (dBm),Probe_Noise  (dBm),Probe_Coupling_Noise  (dBm),Probe_Coupling_RF_Noise  (dBm)
3.920145191,-121.6064012,-101.864,-92.510399,-91.3055998,-90.5743988,-89.6608
3.956442831,-120.7792008,-102.4311998,-86.8839996,-89.1824004,-90.663202,-90.1160002
3.992740472,-122.2631988,-103.2816008,-90.2056014,-91.3912002,-91.615999,-90.1776
4.029038113,-122.1280014,-100.4552018,-89.7439986,-89.8815996,-90.1608,-89.6591994
4.065335753,-122.306401,-98.1831998,-86.4503996,-88.6968004,-89.3471998,-88.7831986
4.101633394,-121.859201,-94.9264008,-83.3151976,-85.6615982,-87.0999986,-87.1791992
4.137931034,-122.5719986,-74.0056,-64.9951994,-68.6752014,-70.0024002,-71.940799
4.174228675,-121.7776002,-77.3031996,-68.1567992,-71.4112016,-72.7263976,-74.7336014
4.210526316,-122.3040008,-92.712799,-76.4528002,-74.078401,-74.146402,-75.5688004
4.246823956,-121.6831988,-97.3943998,-81.7679992,-77.5288008,-76.4768006,-76.4271988
4.283121597,-121.4568008,-100.9384002,-86.127199,-83.1584016,-82.512799,-81.5935988
4.319419238,-121.756801,-101.9744002,-88.9632004,-87.086398,-85.6447998,-85.2720016
4.355716878,-122.3832018,-90.8304,-76.9576004,-76.1880006,-75.4735994,-75.7520006
4.392014519,-121.699202,-103.8799988,-89.6528016,-88.5135968,-87.532799,-86.8623992
4.42831216,-121.7496002,-105.699202,-92.3128004,-91.470401,-91.0880004,-88.7520006
4.4646098,-122.3744004,-106.4752,-93.510402,-93.6767992,-92.7775984,-89.9688004
4.500907441,-121.4743988,-106.7256012,-94.335199,-93.6879992,-93.7343996,-89.6455994
4.537205082,-121.7559998,-106.9703996,-94.1304,-94.0104004,-92.6416,-90.120801
4.573502722,-122.5559996,-107.7703994,-95.7360002,-95.3583998,-93.1800004,-90.307199
4.609800363,-123.2272004,-108.6783998,-94.876799,-94.4815994,-93.9359986,-90.1104004
4.646098004,-122.8800004,-108.4224012,-95.8824006,-94.7664004,-93.5640014,-89.6767992
4.682395644,-122.6087984,-108.7216002,-96.2759994,-96.3584,-94.9799988,-90.4472016
4.718693285,-123.240802,-108.1328004,-93.7520018,-93.7031998,-93.3976012,-90.7792006
4.754990926,-122.0119996,-101.7608016,-87.6615998,-87.8880006,-87.6328,-88.4055986
4.791288566,-122.851201,-109.7071992,-97.2703978,-96.5856004,-94.1679994,-91.0087998
