delta_c/2pi (MHz),Omega_p/2pi (MHz),EIT Amplitude (arb. units)
-999.4443398,7.4000308,0.112272556
-999.4443398,7.423618658,0.112324745
-999.4443398,7.447206515,0.112346485
-999.4443398,7.470794373,0.112339042
-999.4443398,7.494382231,0.112303679
-999.4443398,7.517970089,0.11224663
-999.4443398,7.541557947,0.112180077
-999.4443398,7.565145804,0.112121946
-997.9440193,0.512376327,0.007200739
-997.9440193,0.535964185,0.006920558
-997.9440193,0.559552042,0.006592477
-997.9440193,0.5831399,0.006293983
-997.9440193,0.606727758,0.006073117
-997.9440193,0.630315616,0.005948613
-997.9440193,0.653903473,0.005915282
-997.9440193,0.677491331,0.005967936
-997.9440193,0.701079189,0.006101385
-997.9440193,0.724667047,0.006310442
-997.9440193,0.748254905,0.006589916
-997.9440193,0.771842762,0.00693462
-997.9440193,0.79543062,0.007339365
-997.9440193,0.819018478,0.007798961
-997.9440193,0.842606336,0.00830822
-997.9440193,0.866194194,0.008861953
-997.9440193,0.889782051,0.009454971
-997.9440193,0.913369909,0.010082086
-997.9440193,0.936957767,0.010738108
-997.9440193,0.960545625,0.011417849
-997.9440193,0.984133482,0.012116121
-997.9440193,1.00772134,0.012827733
-997.9440193,1.031309198,0.013547498
-997.9440193,1.054897056,0.014270226
-997.9440193,1.078484914,0.01499073
-997.9440193,1.102072771,0.015703819
-997.9440193,1.125660629,0.016404305
-997.9440193,1.149248487,0.017087
-997.9440193,1.172836345,0.017746715
-997.9440193,1.196424202,0.01837826
-997.9440193,1.22001206,0.018976447
-997.9440193,1.243599918,0.019536087
-997.9440193,1.267187776,0.020051992
-997.9440193,1.290775634,0.020518972
-997.9440193,1.314363491,0.020931838
-997.9440193,1.337951349,0.021285403
-997.9440193,1.361539207,0.021574477
-997.9440193,1.385127065,0.021793871
-997.9440193,1.408714923,0.021938396
-997.9440193,1.43230278,0.022002864
-997.9440193,1.455890638,0.021982086
-997.9440193,1.479478496,0.021870889
-997.9440193,1.503066354,0.021664443
-997.9440193,1.526654211,0.021359154
-997.9440193,1.550242069,0.020954052
-997.9440193,1.573829927,0.020451945
-997.9440193,1.597417785,0.019859334
-997.9440193,1.621005643,0.019185177
