delta_c/2pi_(MHz),P_sig=off,P_sig=0 dBm,P_sig=8 dBm,P_sig=14 dBm,P_sig=off,P_sig=0 dBm,P_sig=8 dBm,P_sig=14 dBm
-68.36836837,0.008734312,0.00464854,0.011104809,-0.001872382,-0.428661357,-0.422953913,-0.443342438,-0.488307564
-68.16816817,0.008734312,0.006772384,0.012697693,-0.002299818,-0.427599435,-0.422422952,-0.443873399,-0.488514614
-67.96796797,0.008577235,0.008653353,0.014121964,-0.002830779,-0.42664223,-0.421891991,-0.444151443,-0.488514614
-67.76776777,0.006984351,0.007591431,0.014652925,-0.00336174,-0.42664223,-0.42136103,-0.443089521,-0.488514614
-67.56756757,0.005391468,0.006529509,0.015183887,-0.003387627,-0.42664223,-0.42286533,-0.442027599,-0.489019688
-67.36736737,0.003798585,0.005467587,0.015714848,-0.002856666,-0.42664223,-0.424458214,-0.440965677,-0.49008161
-67.16716717,0.003022544,0.004802206,0.015365073,-0.002325705,-0.42664223,-0.426051097,-0.44078449,-0.491143532
-66.96696697,0.002491583,0.004271245,0.014834112,-0.00156183,-0.42664223,-0.426642232,-0.44078449,-0.492127816
-66.76676677,0.001960622,0.003740283,0.014303151,0.000562014,-0.42664223,-0.426642232,-0.44078449,-0.492658777
-66.56656657,0.00142966,0.003874249,0.01377219,0.002685859,-0.42664223,-0.426642232,-0.441049959,-0.493189738
-66.36636637,0.000898699,0.004936171,0.013241229,0.004809703,-0.42664223,-0.426801249,-0.44158092,-0.493720699
-66.16616617,0.000367738,0.005998094,0.012710268,0.006933547,-0.42664223,-0.42733221,-0.442111881,-0.49511906
-65.96596597,-4.60E-05,0.006966529,0.012269876,0.009057392,-0.42664223,-0.427863171,-0.442189993,-0.496711943
-65.76576577,0.000484984,0.006966529,0.012269876,0.011181236,-0.42664223,-0.428394132,-0.440066149,-0.498304826
-65.56556557,0.001015945,0.006966529,0.012269876,0.012011075,-0.42664223,-0.428925093,-0.437942305,-0.499380107
-65.36536537,0.001546906,0.006966529,0.012269876,0.011480114,-0.42664223,-0.429456054,-0.435818461,-0.499911068
-65.16516517,0.001663183,0.006563724,0.010483349,0.010949153,-0.42830097,-0.429987015,-0.436374407,-0.500442029
-64.96496496,0.001663183,0.006032763,0.008359505,0.010669898,-0.430424815,-0.429497435,-0.43743633,-0.50097299
-64.76476476,0.001663183,0.005501802,0.00623566,0.01173182,-0.43254866,-0.428435513,-0.438498252,-0.501503951
-64.56456456,0.001663183,0.005426653,0.005742213,0.012793742,-0.433953146,-0.42737359,-0.439016708,-0.502034912
-64.36436436,0.001663183,0.005957615,0.006804135,0.013855665,-0.434484108,-0.426476949,-0.439016708,-0.502565873
-64.16416416,0.001663183,0.006488576,0.007866057,0.014037659,-0.435015069,-0.425945988,-0.439016708,-0.503096834
-63.96396396,0.001663183,0.007019537,0.008637478,0.014037659,-0.435481144,-0.425415027,-0.438919874,-0.503627795
-63.76376376,0.001663183,0.007550498,0.008106517,0.014037659,-0.435481144,-0.424884066,-0.438388913,-0.504158756
-63.56356356,0.001663183,0.008081459,0.007575556,0.013507529,-0.435481144,-0.425917135,-0.437857952,-0.505219847
-63.36336336,0.001663183,0.00861242,0.007044595,0.012445606,-0.435481144,-0.426979058,-0.437326991,-0.50681273
-63.16316316,0.00292603,0.008734312,0.006966529,0.011383684,-0.435481144,-0.42804098,-0.437701822,-0.508405613
-62.96296296,0.004518913,0.008734312,0.006966529,0.010321762,-0.435481144,-0.42806357,-0.438232783,-0.509637832
-62.76276276,0.006111796,0.008734312,0.006966529,0.00925984,-0.435481144,-0.427532609,-0.438763744,-0.509106871
-62.56256256,0.007212579,0.009202652,0.007244526,0.008197918,-0.435481144,-0.427001648,-0.439294705,-0.50857591
-62.36236236,0.00774354,0.010264575,0.007775487,0.007135995,-0.435481144,-0.426642232,-0.439825666,-0.508044949
-62.16216216,0.008274502,0.011326497,0.008306448,0.007858986,-0.435481144,-0.426642232,-0.440356627,-0.508406444
-61.96196196,0.008734312,0.012210605,0.008734312,0.008920908,-0.435409993,-0.426642232,-0.440887588,-0.508937405
-61.76176176,0.008734312,0.011679644,0.008734312,0.00998283,-0.434879032,-0.426642232,-0.441418549,-0.509468366
-61.56156156,0.008734312,0.011148683,0.008734312,0.009959436,-0.434348071,-0.427697447,-0.44194951,-0.509456669
-61.36136136,0.008734312,0.010617722,0.008734312,0.008897514,-0.43381711,-0.42875937,-0.442480471,-0.508925708
-61.16116116,0.008734312,0.010502094,0.007815992,0.007835591,-0.435422214,-0.429821292,-0.444388911,-0.508394747
-60.96096096,0.008734312,0.010502094,0.00675407,0.006773669,-0.437546058,-0.430177798,-0.446512755,-0.507863786
-60.76076076,0.008734312,0.010502094,0.005692148,0.005711747,-0.439669902,-0.430177798,-0.448636599,-0.507332825
-60.56056056,0.008734312,0.010502094,0.005483008,0.004649825,-0.441036804,-0.430177798,-0.450191922,-0.506801864
-60.36036036,0.008734312,0.010502094,0.006013969,0.003587903,-0.441567765,-0.429999989,-0.451253844,-0.506270903
-60.16016016,0.008734312,0.010502094,0.00654493,0.004335949,-0.442098726,-0.429469028,-0.452315766,-0.504382466
-59.95995996,0.008656897,0.010436559,0.006857168,0.005397871,-0.442629687,-0.428938067,-0.45294024,-0.502258622
-59.75975976,0.008125936,0.009905598,0.006326207,0.006459793,-0.443160648,-0.428421657,-0.451878318,-0.500134778
-59.55955956,0.007594974,0.009374637,0.005795245,0.008354495,-0.443691609,-0.430545501,-0.450816396,-0.498843713
-59.35935936,0.007064013,0.008843675,0.005264284,0.0110093,-0.44422257,-0.432669345,-0.449754474,-0.498312752
-59.15915916,0.006966529,0.008734312,0.005664171,0.013664106,-0.444753531,-0.434793189,-0.451019671,-0.497781791
-58.95895896,0.006966529,0.008734312,0.006195132,0.015600053,-0.445284492,-0.435840116,-0.452612554,-0.49725083
-58.75875876,0.006966529,0.008734312,0.006726093,0.014538131,-0.445815453,-0.436371077,-0.454205437,-0.496719869
-58.55855856,0.007225108,0.008487613,0.007838104,0.013476209,-0.446087836,-0.436902038,-0.454636221,-0.496188908
-58.35835836,0.007756069,0.007956652,0.009430987,0.012414286,-0.446087836,-0.437801146,-0.45410526,-0.495657947
-58.15815816,0.00828703,0.007425691,0.011023871,0.012269876,-0.446087836,-0.439394029,-0.453574299,-0.495126986
-57.95795796,0.00890167,0.006822931,0.012385505,0.012269876,-0.446004157,-0.440986912,-0.452812078,-0.494596025
-57.75775776,0.009963592,0.005761009,0.012916479,0.012269876,-0.445473196,-0.442561446,-0.451219155,-0.494065064
-57.55755756,0.011025514,0.004699086,0.013447454,0.012553734,-0.444942235,-0.443092407,-0.449626232,-0.493250246
-57.35735736,0.012087436,0.003637164,0.013978428,0.013084695,-0.444411274,-0.443623368,-0.448033309,-0.492188324
-57.15715716,0.011390394,0.003858826,0.014037658,0.013615656,-0.444320054,-0.444154329,-0.447855618,-0.491126402
-56.95695696,0.010328472,0.004389787,0.014037658,0.014037659,-0.444320054,-0.446146235,-0.447855618,-0.490500312
-56.75675676,0.00926655,0.004920748,0.014037658,0.014037659,-0.444320054,-0.44880104,-0.447855618,-0.491562234
-56.55655656,0.008999154,0.005957634,0.014631325,0.014037659,-0.444055212,-0.451455845,-0.448449284,-0.492624156
-56.35635636,0.009530115,0.007550518,0.015693247,0.014037659,-0.443524251,-0.452968627,-0.449511206,-0.493686078
-56.15615616,0.010061076,0.009143401,0.016755169,0.013572639,-0.44299329,-0.452437666,-0.450573128,-0.49381796
-55.95595596,0.010412151,0.010424031,0.017451289,0.013041677,-0.442462329,-0.451906705,-0.451391182,-0.49381796
-55.75575576,0.00988119,0.00989307,0.016920328,0.012510716,-0.441931368,-0.45140662,-0.451391182,-0.49381796
-55.55555556,0.009350229,0.009362108,0.016389367,0.01314024,-0.441400407,-0.451937581,-0.451391182,-0.494108081
-55.35535536,0.008819268,0.008831147,0.015858406,0.014733123,-0.440869446,-0.452468542,-0.451391182,-0.494639042
-55.15515516,0.008734312,0.009602562,0.014849449,0.016326006,-0.44078449,-0.452999503,-0.451391182,-0.495170003
-54.95495495,0.008734312,0.010664485,0.013787526,0.017918889,-0.44078449,-0.452787464,-0.451391182,-0.49604663
-54.75475475,0.008734312,0.011726407,0.012725604,0.019511773,-0.44078449,-0.452256503,-0.451391182,-0.498170474
-54.55455455,0.008734312,0.01201065,0.011360585,0.021104656,-0.441055596,-0.451725542,-0.452300473,-0.500294318
-54.35435435,0.008734312,0.011479689,0.009767702,0.022697539,-0.441586557,-0.451587783,-0.453893356,-0.502418162
-54.15415415,0.008734312,0.010948728,0.008174818,0.024761707,-0.442117518,-0.452118744,-0.455486239,-0.50265687
-53.95395395,0.009022933,0.010249112,0.006710133,0.026885551,-0.442552272,-0.452649705,-0.457463716,-0.50265687
