delta_c/2pi (MHz),Omega_c/2pi (MHz),EIT Amplitude (arb. units)
-999.5368278,2.509172872,0.010207922
-999.5368278,2.516835599,0.010390013
-999.5368278,2.524498327,0.010584183
-999.5368278,2.532161054,0.010790733
-999.5368278,2.539823782,0.011009965
-999.5368278,2.547486509,0.011242178
-999.5368278,2.555149236,0.011487674
-999.5368278,2.562811964,0.011746754
-999.5368278,2.570474691,0.012019718
-999.5368278,2.578137419,0.012306867
-999.5368278,2.585800146,0.012608502
-999.5368278,2.593462873,0.012924923
-999.5368278,2.601125601,0.013256432
-999.5368278,2.608788328,0.013603329
-999.5368278,2.616451056,0.013965915
-999.5368278,2.624113783,0.014344491
-999.5368278,2.63177651,0.014739357
-999.5368278,2.639439238,0.015150814
-999.5368278,2.647101965,0.015579164
-999.5368278,2.654764692,0.016024706
-999.5368278,2.66242742,0.016487742
-999.5368278,2.670090147,0.016968572
-999.5368278,2.677752875,0.017467498
-999.5368278,2.685415602,0.017984819
-999.5368278,2.693078329,0.018520837
-999.5368278,2.700741057,0.019075853
-999.5368278,2.708403784,0.019650167
-999.5368278,2.716066512,0.020244079
-999.5368278,2.723729239,0.020857892
-999.5368278,2.731391966,0.021491905
-999.5368278,2.739054694,0.02214642
-999.5368278,2.746717421,0.022821737
-999.5368278,2.754380149,0.023518157
-999.5368278,2.762042876,0.02423598
-999.5368278,2.769705603,0.024975508
-999.5368278,2.777368331,0.025737042
-999.5368278,2.785031058,0.026520881
-999.5368278,2.792693785,0.027327327
-999.5368278,2.800356513,0.028156681
-999.5368278,2.80801924,0.029009243
-999.5368278,2.815681968,0.029850582
-999.5368278,2.823344695,0.030609321
-999.5368278,2.831007422,0.031183006
-998.0363734,0.539851933,-0.002915386
-998.0363734,0.547514661,-0.002761169
-998.0363734,0.555177388,-0.002557365
-998.0363734,0.562840116,-0.002331623
-998.0363734,0.570502843,-0.002103188
-998.0363734,0.57816557,-0.001881335
-998.0363734,0.585828298,-0.001665975
-998.0363734,0.593491025,-0.001457022
-998.0363734,0.601153753,-0.001254388
-998.0363734,0.60881648,-0.001057986
-998.0363734,0.616479207,-0.000867729
-998.0363734,0.624141935,-0.000683528
-998.0363734,0.631804662,-0.000505297
-998.0363734,0.639467389,-0.000332949
-998.0363734,0.647130117,-0.000166395
-998.0363734,0.654792844,-5.55E-06
-998.0363734,0.662455572,0.000149677
-998.0363734,0.670118299,0.00029937
-998.0363734,0.677781026,0.000443618
-998.0363734,0.685443754,0.000582508
-998.0363734,0.693106481,0.000716128
-998.0363734,0.700769209,0.000844564
-998.0363734,0.708431936,0.000967905
-998.0363734,0.716094663,0.001086237
-998.0363734,0.723757391,0.001199648
-998.0363734,0.731420118,0.001308225
-998.0363734,0.739082846,0.001412056
-998.0363734,0.746745573,0.001511228
-998.0363734,0.7544083,0.001605829
-998.0363734,0.762071028,0.001695946
-998.0363734,0.769733755,0.001781666
-998.0363734,0.777396482,0.001863076
-998.0363734,0.78505921,0.001940265
-998.0363734,0.792721937,0.002013319
-998.0363734,0.800384665,0.002082326
-998.0363734,0.808047392,0.002147373
-998.0363734,0.815710119,0.002208548
-998.0363734,0.823372847,0.002265938
-998.0363734,0.831035574,0.00231963
-998.0363734,0.838698302,0.002369712
-998.0363734,0.846361029,0.002416271
-998.0363734,0.854023756,0.002459395
-998.0363734,0.861686484,0.002499171
-998.0363734,0.869349211,0.002535686
-998.0363734,0.877011938,0.002569027
-998.0363734,0.884674666,0.002599283
-998.0363734,0.892337393,0.00262654
-998.0363734,0.900000121,0.002650886
-998.0363734,0.907662848,0.002672408
-998.0363734,0.915325575,0.002691194
-998.0363734,0.922988303,0.002707331
-998.0363734,0.93065103,0.002720907
-998.0363734,0.938313758,0.002732008
-998.0363734,0.945976485,0.002740722
-998.0363734,0.953639212,0.002747137
-998.0363734,0.96130194,0.00275134
-998.0363734,0.968964667,0.002753418
-998.0363734,0.976627395,0.002753459
-998.0363734,0.984290122,0.00275155
-998.0363734,0.991952849,0.002747779
-998.0363734,0.999615577,0.002742232
-998.0363734,1.007278304,0.002734998
-998.0363734,1.014941031,0.002726163
-998.0363734,1.022603759,0.002715816
-998.0363734,1.030266486,0.002704042
-998.0363734,1.037929214,0.002690931
-998.0363734,1.045591941,0.002676569
-998.0363734,1.053254668,0.002661043
-998.0363734,1.060917396,0.002644442
-998.0363734,1.068580123,0.002626852
-998.0363734,1.076242851,0.00260836
-998.0363734,1.083905578,0.002589055
-998.0363734,1.091568305,0.002569023
-998.0363734,1.099231033,0.002548352
-998.0363734,1.10689376,0.00252713
-998.0363734,1.114556488,0.002505443
-998.0363734,1.122219215,0.002483379
-998.0363734,1.129881942,0.002461025
-998.0363734,1.13754467,0.00243847
-998.0363734,1.145207397,0.0024158
-998.0363734,1.152870124,0.002393102
-998.0363734,1.160532852,0.002370464
-998.0363734,1.168195579,0.002347974
-998.0363734,1.175858307,0.002325718
-998.0363734,1.183521034,0.002303785
-998.0363734,1.191183761,0.002282261
-998.0363734,1.198846489,0.002261234
-998.0363734,1.206509216,0.002240792
-998.0363734,1.214171944,0.002221021
-998.0363734,1.221834671,0.002202009
-998.0363734,1.229497398,0.002183844
-998.0363734,1.237160126,0.002166612
-998.0363734,1.244822853,0.002150402
-998.0363734,1.25248558,0.002135301
-998.0363734,1.260148308,0.002121395
-998.0363734,1.267811035,0.002108773
-998.0363734,1.275473763,0.002097522
-998.0363734,1.28313649,0.002087729
-998.0363734,1.290799217,0.002079481
-998.0363734,1.298461945,0.002072867
-998.0363734,1.306124672,0.002067973
-998.0363734,1.3137874,0.002064886
-998.0363734,1.321450127,0.002063695
-998.0363734,1.329112854,0.002064486
-998.0363734,1.336775582,0.002067347
-998.0363734,1.344438309,0.002072365
-998.0363734,1.352101037,0.002079628
-998.0363734,1.359763764,0.002089223
-998.0363734,1.367426491,0.002101238
-998.0363734,1.375089219,0.002115759
-998.0363734,1.382751946,0.002132874
-998.0363734,1.390414673,0.002152671
-998.0363734,1.398077401,0.002175237
-998.0363734,1.405740128,0.00220066
-998.0363734,1.413402856,0.002229026
-998.0363734,1.421065583,0.002260423
-998.0363734,1.42872831,0.002294939
-998.0363734,1.436391038,0.002332661
-998.0363734,1.444053765,0.002373676
-998.0363734,1.451716493,0.002418072
-998.0363734,1.45937922,0.002465936
-998.0363734,1.467041947,0.002517355
-998.0363734,1.474704675,0.002572417
-998.0363734,1.482367402,0.002631209
-998.0363734,1.49003013,0.002693819
-998.0363734,1.497692857,0.002760334
-998.0363734,1.505355584,0.002830842
-998.0363734,1.513018312,0.002905429
-998.0363734,1.520681039,0.002984183
-998.0363734,1.528343766,0.003067185
-998.0363734,1.536006494,0.003154495
-998.0363734,1.543669221,0.003246131
-998.0363734,1.551331949,0.003342052
-998.0363734,1.558994676,0.003442162
-998.0363734,1.566657403,0.003546326
-998.0363734,1.574320131,0.003654395
-998.0363734,1.581982858,0.003766217
-998.0363734,1.589645586,0.003881638
-998.0363734,1.597308313,0.004000506
-998.0363734,1.60497104,0.004122667
-998.0363734,1.612633768,0.004247969
-998.0363734,1.620296495,0.004376258
